Team,No.,Player,Pos,Ht,Wt,Birth Date,Age,Exp,College, Salary ,Draft Pick,NOTES,,,,
Fever,9,Sophie Cunningham,G,"6' 1"" ",170,8/16/96,29,6,Missouri,,"2019: Rd 2, Pk 13 (PHX)",,,,,
Fever,51,Sydney Colson,G,"5' 8"" ",140,8/6/89,36,10,Texas A&M,,"2011: Rd 2, Pk 16 (CONN)",,,,,
Liberty,30,Breanna Stewart,F,"6' 4"" ",170,8/27/94,31,8,UConn,,"2016: Rd 1, Pk 1 (SEA)",,,,,
Liberty,44,Betnijah Laney,G-F,"6' 1"" ",166,10/29/93,32,9,Rutgers University,,"2015: Rd 2, Pk 17 (CHI)",,,,,
Liberty,20,Isabelle Harrison,F,"6' 3"" ",183,9/27/93,32,7,Tennessee,,"2015: Rd 1, Pk 12 (PHX)",,,,,
Liberty,0,Jaylyn Sherrod,G,"5' 7""",,10/21/01,24,1,Colorado,,UNDRAFTED,,,,,
Liberty,35,Jonquel Jones,C,"6' 6""",215,1/5/94,31,8,George Washington,,"2016: Rd 1, Pk 6 (LA)","Clemson, George Washington",,,,
Liberty,2,Kennedy Burke,G-F,"6' 1"" ",182,2/14/97,28,5,UCLA,,"2019: Rd 2, Pk 22 (DAL)",,,,,
Liberty,13,Leonie Fiebich,F,"6' 4"" ",,1/10/00,25,1,GERMANY,,"2020: Rd 2, Pk 22 (LA)",,,,,
Liberty,23,Marine Johannes,G,"5' 10""",134,1/21/96,29,3,FRANCE,,UNDRAFTED,,,,,
Liberty,1,Marquesha Davis,G,"6' 1"" ",,5/29/01,24,1,Ole Miss,,"2024: Rd 1, Pk 11 (NY)","Arkansas, Ole Miss",,,,
Liberty,9,Natasha Cloud,G,"5' 10""",160,2/22/92,33,10,St. Josephs,,"2015: Rd 2, Pk 15 (WSH)",,,,,
Liberty,8,Nyara Sabally,C,"6' 5""",204,2/26/00,25,2,Oregon,,"2022: Rd 1, Pk 5 (NY)",,,,,
Liberty,7,Rebekkah Gardner,G,"6' 1"" ",130,7/9/90,35,2,UCLA,,UNDRAFTED,,,,,
Liberty,20,Sabrina Ionescu,G,"5' 11""",165,12/6/97,28,5,Oregon,,"2020: Rd 1, Pk 1 (NY)",,,,,
Lynx,8,Alanna Smith,F,"6' 4"" ",183,9/10/96,29,6,Stanford,,"2019: Rd 1, Pk 8 (PHX",,,,,
Lynx,35,Alissa Pili,F,"6' 2"" ",235,6/8/01,24,1,Utah,,"2024: Rd 1, Pk 8 (MIN)","USC, Utah",,,,
Lynx,6,Bridget Carleton,F,"6' 1"" ",177,5/22/97,28,6,Iowa State,,"2019: Rd 2, Pk 21 (CONN)",,,,,
Lynx,10,Courtney Williams,G,"5' 8"" ",142,5/11/94,31,9,South Florida,,"2016: Rd 1, Pk 8 (PHX)",,,,,
Lynx,1,Diamond Miller,F,"6' 3"" ",179,2/11/01,24,2,Maryland,,"2023: Rd 1, Pk 2 (MIN)",,,,,
Lynx,14,Dorka Juhász,F,"6' 5""",191,12/18/99,25,2,Uconn,,"2023: Rd 2, Pk 16 (MIN)","Ohio State, UConn",,,,
Lynx,15,Jessica Shephard,F,"6' 4"" ",186,9/11/96,29,4,Notre Dame,,"2019: Rd 2, Pk 16 (MIN)","Nebraska, Notre Dame",,,,
Lynx,44,Karlie Samuelson,G,"6' 1"" ",160,5/10/95,30,6,Stanford,,UNDRAFTED,,,,,
Lynx,21,Kayla McBride,G,"5' 11""",186,6/25/92,33,11,Notre Dame,,"2014: Rd 1, Pk3 (SA)",,,,,
Lynx,,Maria Kilundikova,F,"6' 4"" ",185,7/16/98,27,2,RUSSIA,,"	2018: Rd 1, Pk 11 (LA)",,,,,
Lynx,24,Napheesa Collier,F,"6' 1"" ",173,9/23/96,29,6,UConn,,"2019: Rd 1, Pk 6 (MIN)",,,,,
Lynx,2,Natisha Hiedeman,G,"5' 8"" ",128,2/10/97,28,6,Marquette,,"2019: Rd 2, Pk 18 (MIN)",,,,,
Mercury,25,Alyssa Thomas,F,"6' 2"" ",203,4/12/92,33,11,Maryland,,"2014: Rd 1, Pk 4 (SA)",,,,,
Mercury,2,Kahleah Copper,G-F,"6' 1"" ",165,8/28/94,31,9,Rutgers University,,"2016: Rd 1, Pk 7 (WSH)",,,,,
Mercury,21,Kalani Brown,C,"6' 7"" ",245,3/21/97,28,5,Baylor,,"2019: Rd 1, Pk 7 (LA)",,,,,
Mercury,24,Kathryn Westbeld,F,"6' 3"" ",,1/29/96,29,R,Notre Dame,,UNDRAFTED,,,,,
Mercury,9,Kitija Laska,G,"6' 1"" ",,5/21/96,29,R,South Florida,,"	2020: Rd 1, Pk 11 (SEA)",,,,,
Mercury,1,Lexi Held,G,"6' 1"" ",150,12/28/99,25,R,DePaul,,UNDRAFTED,,,,,
Mercury,16,Megan McConnel,G,"5' 7""",,11/12/01,24,R,Duquesne,,UNDRAFTED,,,,,
Mercury,8,Monique Akoa Makani,G,"5' 11""",,2/4/01,24,R,CAMEROON,,UNDRAFTED,,,,,
Mercury,20,Murjantu Musa,C,"6' 2"" ",,5/5/00,25,R,NIGERIA,,UNDRAFTED,,,,,
Mercury,4,Natasha Mack,F,"6' 3"" ",182,11/3/97,28,2,Oklahoma State,,"2021: Rd 2, Pk 16 (CHI)","Angelina College, Oklahoma State",,,,
Mercury,32,Sami Whitcomb,G,"5' 10""",149,7/20/88,37,8,Washington,,UNDRAFTED,,,,,
Mercury,0,Satou Sabally,F,"6' 4"" ",175,4/25/98,27,5,Oregon,,"2020: Rd 1, Pk 2 (DAL)",,,,,
Mystics,24,Aaliyah Edwards,F,"6' 3"" ",,7/9/02,23,1,UConn,,"2024: Rd 1, Pk 6 (WSH)",,,,,
Mystics,20,Brittney Sykes,G,"5' 9""",154,2/7/94,31,8,Syracuse,,"2017: Rd. 1, Pk 7 (ATL)",,,,,
Mystics,21,Emily Engstler,F,"6' 1"" ",180,5/1/00,25,3,Louisville,,"2022: Rd 1, Pk 4 (IND)","Syracuse, Louisville",,,,
Mystics,8,Georgia Amoore,G,"5' 6""",,4/3/01,24,R,Kentucky,,"2025: Rd 1, Pk 6 (WSH)","Virginia Tech, Kentucky",,,,
Mystics,5,Jade Melbourne,G,"5' 10""",145,8/18/02,23,2,AUSTRALIA,,"2022: Rd 3, Pk 33 (SEA)",,,,,
Mystics,44,Kiki Iriafen,F,"6' 3"" ",,8/26/03,22,R,USC,,"2025: Rd 1, Pk 4 (WSH)","Stanford, USC",,,,
Mystics,33,Lucy Olsen,G,"5' 10""",,5/26/03,22,R,Iowa,,"2025: Rd 2, Pk 23 (WSH)","Villanove, Iowa",,,,
Mystics,0,Shakira Austin,C-F,"6' 5""",190,7/25/00,25,3,Ole Miss,,"2022: Rd 1, Pk 3 (WSH)","Maryland, Ole Miss",,,,
Mystics,3,Sika Koné,F,"6' 3"" ",180,7/13/02,23,2,MALI,,"2022: Rd 3, Pk 29 (NY)",,,,,
Mystics,22,Sonia Citron,G,"6' 1"" ",,10/22/03,22,R,Notre Dame,,"2025: Rd 1, Pk 3 (WSH)",,,,,
Mystics,31,Stefanie Dolson,C,"6' 5""",235,1/8/92,33,11,UConn,,"2014: Rd. 1, Pk 6 (WSH)",,,,,
Mystics,1,Sug Sutton,G,"5' 8"" ",140,12/17/98,26,3,Texas,,"2020: Rd 3, Pk 36 (WSH)",,,,,
Sky,5,Angel Reese,F,"6' 3"" ",165,5/6/02,23,1,LSU,,"2024: Rd 1, Pk 7 (CHI)","Maryland, LSU",,,,
Sky,7,Ariel Atkins,G,"5' 10""",167,7/30/96,29,7,Texas,,"2018: Rd 1, Pk 7 (WSH)",,,,,
Sky,22,Courtney Vandersloot,G,"5' 8"" ",137,2/8/89,36,14,Gonzaga,,"2011: Rd 1, Pk 3 (CHI)",,,,,
Sky,1,Elizabeth Williams,C-F,"6' 3"" ",200,6/23/93,32,10,Duke,,"2015: Rd 1, Pk 4 (CONN)",,,,,
Sky,2,Hailey Van Lith,G,"5' 9""",,9/9/01,24,R,TCU,,"2025: Rd 1, Pk 11 (CHI)","Louisville, LSU, TCU",,,,
Sky,10,Kamilla Cardoso,C,"6' 7"" ",215,4/30/01,24,1,South Carolina,,"2024: Rd 1, Pk 3 (CHI)","Syracuse, South Carolina",,,,
Sky,11,Kia Nurse,C,"6' 0"" ",181,2/22/96,29,6,UConn,,"2018: Rd 1, Pk 10 (NY)",,,,,
Sky,21,Maddy Westbeld,F,"6' 3"" ",,10/15/02,23,R,Notre Dame,,"2025: Rd 2, Pk 16 (CHI)",,,,,
Sky,12,Michaela Onyenwere,F,"6' 1"" ",178,8/10/99,26,4,UCLA,,"2021: Rd 1, Pk 6 (NY)",,,,,
Sky,4,Moriah Jefferson,G,"5' 6""",130,3/8/94,31,8,UConn,,"2016: Rd 1, Pk 2  (SA)",,,,,
Sky,24,Rachel Banham,G,"5' 10""",181,7/15/93,32,9,Minnesota,,"2016: Rd 1, Pk 4 (CONN)",,,,,
Sky,9,Rebecca Allen,F-G,"6' 2"" ",162,11/6/92,33,9,AUSTRALIA,,UNDRAFTED,,,,,
Sparks,23,Azura Stevens,G,"6' 6""",180,2/1/96,29,7,UConn,,"2018: Rd 1, Pk 6  (DAL)",,,,,
Sparks,22,Cameron Brink,F,"6' 4"" ",170,12/21/01,23,1,Stanford,,"2025: Rd 1, Pk 2 (LA)",,,,,
Sparks,5,Dearica Hambry,F,"6' 3"" ",189,11/6/93,32,10,Wake Forest,,"2015: Rd 1, Pk 6 (SA)",,,,,
Sparks,32,Emma Cannon,G,"6' 2"" ",190,6/1/89,36,6,Florica Southern,,UNDRAFTED,"UCF, Florida Southern",,,,
Sparks,20,Julie Allemand,G,"5' 8"" ",147,7/7/96,29,3,BELGIUM,,"2016: Rd 3, Pk 33 (IND)",,,,,
Sparks,10,Kelsey Plum,G,"5' 8"" ",145,8/24/94,31,7,Washington,,"2017: Rd 1, Pk 1 (SA)",,,,,
Sparks,4,Liatu King,F,"6' 0"" ",,2/10/02,23,R,Notre Dame,,"2025: Rd 3, Pk 28 (LA)","Pittsburgh, Notre Dame",,,,
Sparks,21,Mercedes Russell,C,"6' 6""",195,7/27/95,30,7,Tennessee,,"2018: Rd 2, Pk 22 (NY)",,,,,
Sparks,2,Odyssey Sims,G,"5' 8"" ",155,7/13/92,33,11,Baylor,,"2014: Rd 1, Pk 2 (TUL)",,,,,
Sparks,12,Rae Burrell,G,"6' 2"" ",168,6/21/00,25,3,Tennessee,,"2022: Rd 1, Pk 9 (LA)",,,,,
Sparks,2,Rickea Jackson,F,"6' 2"" ",155,3/16/01,24,1,Tennessee,,"2024: Rd 1, Pk 4 (LA)",,,,,
Sparks,1,Sania Feagan,F,"6' 3"" ",,3/15/03,22,R,South Carolina,,"2025: Rd 2, Pk 21 (LA)",,,,,
Sparks,13,Sarah Ashlee Barker,G,"6' 0"" ",,9/10/01,24,R,Alabama,,"2025: Rd 1, Pk 9 (LA)",,,,,
Storm,7,Alysha Clark,F,"5' 11""",167,7/7/87,38,12,Middle Tennessee,,"2010: Rd 2, Pk 17 (SA)",,,,,
Storm,14,Dominque Malonga,C,"6' 6""",,11/16/05,20,R,FRANCE,,"2025: Rd 1, Pk 2 (SEA)",,,,,
Storm,17,Erica Wheeler,G,"5' 7""",143,5/2/91,34,9,Rutgers University,,UNDRAFTED,,,,,
Storm,13,Ezi Magbegor,F-C,"6' 4"" ",181,8/13/99,26,5,AUSTRALIA,,"2019: Rd 1, Pk 12 (SEA)",,,,,
Storm,5,Gabby Wiliams,F,"5' 11""",172,9/9/96,29,7,UConn,,"2018: Rd 1, Pk 4 (CHI)",,,,,
Storm,33,Katie Lou Samuelson,F,"6' 3"" ",163,6/13/97,28,5,UConn,,"2019: Rd 1, Pk 4 (CHI)",,,,,
Storm,4,Lexie Brown,G,"5' 9""",162,10/27/94,31,7,Duke,,"2018: Rd 1, Pk 9 (CONN)",,,,,
Storm,28,Li Yueru,F,"6' 7"" ",,3/28/99,26,2,CHINA,,"2019: Rd 3, Pk 35 (ATL)",,,,,
Storm,3,Nneka Ogwumike,F,"6' 2"" ",190,7/2/90,35,13,Stanford,,"2012: Rd 1, Pk 1 (LA)",,,,,
Storm,4,Skylar Diggins,G,"5' 9""",140,8/2/90,35,10,Notre Dame,,"2013: Rd 1, Pk 3 (TUL)",,,,,
Storm,1,Zia Cooke,G,"5' 9""",163,1/9/01,24,2,South Carolina,,"2023: Rd 1, Pk 10 (LA)",,,,,
Sun,24,Aneesah Morrow,F,"6' 1"" ",,2/2/03,22,R,LSU,,"2025: Rd 1, Pk 7 (CONN)",,,,,
Sun,14,Bria Hartley,G,"5' 9""",148,9/30/92,33,,UConn,,"2014: Rd 1, Pk 7 (SEA)",,,,,
Sun,7,Haley Peters,F,"6' 3"" ",,9/17/92,33,,Duke,,UNDRAFTED,,,,,
Sun,4,Jacy Sheldon,G,"5' 10""",140,8/23/00,25,1,Ohio State,,"2024: Rd 1, Pk 5 (DAL)",,,,,
Sun,18,Jaelyn Brown,G-F,"6' 1"" ",170,10/12/98,27,1,California,,UNDRAFTED,,,,,
Sun,23,Kariata Diaby,C,,,6/29/95,30,R,IVORY COAST,,UNDRAFTED,,,,,
Sun,47,Leila Lecan,G,"5' 11""",,,,R,FRANCE,,"2024: Rd 1, Pk 10 (CONN)",,,,,
Sun,15,Lindsay Allen,G,"5' 8"" ",145,3/20/95,30,7,Notre Dame,,"2017: Rd 2, Pk 14 (NY)",,,,,
Sun,4,Marina Mabrey,G,"5' 11""",170,9/14/96,29,6,Notre Dame,,"2019: Rd 2, Pk 19 (LA)",,,,,
Sun,10,Olivia Nelson-Ododa,C,"6' 5""",176,8/17/00,25,3,UConn,,"2022: Rd 2, Pk 19 (LA)",,,,,
Sun,13,Rayah Marshall,F,"6' 4"" ",,11/15/03,22,R,USC,,"2025: Rd 2, Pk 25 (CONN)",,,,,
Sun,22,Saniya Rivers,G,"6' 1"" ",,3/4/03,22,R,NC State,,"2025: Rd 1, Pk 8 (CONN)",,,,,
Sun,31,Tina Charles,C,"6' 4"" ",192,12/5/88,37,13,UConn,,"2010: Rd 1, Pk 1 (CT)",,,,,
Valkeries,7,Stephanie Talbot,F,"6' 1"" ",192,6/15/94,31,6,AUSTRALIA,,"2014: Rd 3, Pk 33 (PHO)",,,,,
Valkeries,12,Veronica Burton,G,"5' 9""",155,7/12/00,25,3,Northwestern,,"2022: Rd 1, Pk 7 (DAL)",,,,,
Valkeries,0,Carla Leite,G,"5' 9""",,4/16/04,21,R,FRANCE,,"2024: Rd 1, Pk 9 (DAL)",,,,,
Valkeries,9,Cecilia Zandalasini,F,"6' 2"" ",175,3/16/96,29,3,ITALY,,UNDRAFTED,,,,,
Valkeries,13,Janelle Salaun,F,"6' 2"" ",,9/5/01,24,R,FRANCE,,UNDRAFTED,,,,,
Valkeries,35,Julie Vanloo,G,"5' 8"" ",,2/10/93,32,1,BELGIUM,,UNDRAFTED,,,,,
Valkeries,20,Kate Martin,G,"6' 1"" ",172,6/5/00,25,1,Iowa,,"2024: Rd 2, Pk 18 (LV)",,,,,
Valkeries,5,Kayla Thornton,F,"6' 1"" ",190,10/20/92,33,9,Texas-El Paso,,UNDRAFTED,,,,,
Valkeries,7,Laeticia Amihere,F,"6' 3"" ",185,7/10/01,24,2,South Carolina,,"2023: Rd 1, Pk 8 (ATL)",,,,,
Valkeries,25,Monique Billings,F,"6' 4"" ",192,5/2/96,29,7,UCLA,,"2018: Rd 2, Pk 15 (ATL)",,,,,
Valkeries,14,Temi Fagbenle,C,"6' 4"" ",180,9/8/92,33,4,USC,,"2016: Rd 3, Pk 35 (MIN)","Harvard University, USC",,,,
Valkeries,15,Tiffany Hayes,G,"5' 10""",155,9/20/89,36,12,UConn,,"2012: Rd 1, Pk 14 (ATL)",,,,,
Wings,24,Arike Ogunbowale,G,"5' 8"" ",165,3/2/97,28,6,Notre Dame,,"2019: Rd 1, Pk 5 (DAL",,,,,
Wings,10,Aziaha James,G,"5' 9""",,2/22/05,20,R,NC State,,"	2025: Rd 1, Pk 12 (DAL",,,,,
Wings,21,DiJonai Carrington,G-F,"5' 11""",175,1/8/98,27,4,Baylor,,"2021: Rd 2, Pk 20 (CONN)","Stanford, Baylor",,,,
Wings,11,JJ Quinerly,G,,,10/24/02,23,R,West Virginia,,"2025: Rd 3, Pk 27 (DAL)",,,,,
Wings,3,Kaila Charles,G,"6' 1"" ",168,3/23/98,27,5,Maryland,,"2020: Rd 2, Pk 23 (CONN)",,,,,
Wings,8,Lou Lopez Sénéchal,G,"6' 1"" ",155,5/12/98,27,1,UConn,,"2023: Rd 1, Pk 5 (DAL)","Fairfield, UConn",,,,
Wings,18,Luisa Geiselsoder,C,"6' 4"" ",,2/10/00,25,R,GERMANY,,"2020: Rd 2, Pk 21 (DAL)",,,,,
Wings,20,Maddy Siegrist,F,"6' 2"" ",175,5/22/00,25,2,Villanova,,"2023: Rd 1, Pk 3 (DAL)",,,,,
Wings,2,Myisha Hines-Allen,F,"6' 1"" ",200,5/30/96,29,7,Louisville,,"2018: Rd 2, Pk 19 (WSH)",,,,,
Wings,1,NaLyssa Smith,F,"6' 4"" ",185,8/8/00,25,3,Baylor,,"2022: Rd 1, Pk 2 (IND)",,,,,
Wings,5,Paige Bueckers,G,"6' 0"" ",,10/20/01,24,R,Uconn,,"2025: Rd 1, Pk 1 (DAL)",,,,,
Wings,15,Teaira McCowan,C,"6' 7"" ",239,9/28/96,29,6,Mississippi State,,"2019: Rd 1, Pk 3 (IND)",,,,,
Wings,52,Tyasha Harris,G,"5' 10""",152,5/1/98,27,5,South Carolina,,"2020: Rd 1, Pk 7 (DAL)",,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
